True Label,  Predicted Label
 23:  23
 23:  23
 7:  23
 7:  23
 23:  23
 23:  23
 27:  23
 31:  23
 27:  23
 23:  23
 23:  23
 23:  23
 28:  23
 6:  23
 23:  23
 9:  23
 6:  23
 23:  23
 28:  23
 23:  23
 27:  23
 23:  23
 23:  23
 23:  23
 27:  23
 23:  23
 23:  23
 23:  23
 7:  23
 8:  23
 27:  23
 28:  23
 9:  23
 23:  23
 23:  23
 23:  23
 23:  23
 23:  23
 2:  23
 2:  23
 27:  23
 23:  23
 15:  23
 33:  23
 28:  23
 23:  23
 23:  23
 5:  23
 12:  23
 6:  23
 5:  23
 23:  23
 6:  23
 8:  23
 28:  23
 7:  23
 23:  23
 28:  23
 31:  23
 23:  23
 6:  23
 23:  23
 7:  23
 7:  23
 28:  23
 27:  23
 33:  23
 27:  23
 1:  23
 6:  23
 26:  23
 1:  23
 7:  23
 27:  23
 38:  23
 23:  23
 23:  23
 23:  23
 27:  23
 15:  23
 6:  23
 8:  23
 27:  23
 23:  23
 6:  23
 1:  23
 6:  23
 5:  23
 23:  23
 12:  23
 7:  23
 12:  23
 23:  23
 23:  23
 6:  23
 8:  23
 12:  23
 23:  23
 28:  23
 8:  23
 33:  23
 1:  23
 31:  23
 27:  23
 7:  23
 27:  23
 38:  23
 23:  23
 26:  23
 23:  23
 38:  23
 12:  23
 27:  23
 15:  23
 8:  23
 1:  23
 33:  23
 26:  23
 12:  23
 32:  23
 23:  23
 15:  23
 7:  23
 7:  23
 28:  23
 28:  23
 27:  23
 28:  23
 23:  23
 12:  23
 28:  23
 23:  23
 1:  23
 7:  23
 27:  23
 12:  23
 8:  23
 1:  23
 28:  23
 23:  23
 31:  23
 6:  23
 12:  23
 28:  23
 22:  23
 6:  23
 23:  23
 27:  23
 28:  23
 27:  23
 23:  23
 28:  23
 31:  23
 27:  23
 28:  23
 28:  23
 27:  23
 26:  23
 27:  23
 31:  23
 23:  23
 34:  23
 28:  23
 23:  23
 7:  23
 20:  23
 5:  23
 7:  23
 23:  23
 23:  23
 23:  23
 23:  23
 1:  23
 7:  23
 7:  23
 23:  23
 7:  23
 28:  23
 27:  23
 23:  23
 23:  23
 7:  23
 27:  23
 1:  23
 28:  23
 27:  23
 1:  23
 12:  23
 23:  23
 27:  23
 23:  23
 23:  23
 15:  23
 15:  23
 7:  23
 6:  23
 23:  23
 15:  23
 31:  23
 8:  23
 23:  23
 1:  23
 23:  23
 6:  23
 7:  23
 28:  23
 23:  23
 6:  23
 28:  23
 6:  23
 27:  23
 28:  23
 15:  23
 38:  23
 6:  23
 23:  23
 27:  23
 28:  23
 31:  23
 6:  23
 33:  23
 23:  23
 12:  23
 38:  23
 1:  23
 15:  23
 31:  23
 8:  23
 1:  23
 28:  23
 23:  23
 28:  23
 7:  23
 23:  23
 26:  23
 1:  23
 1:  23
 38:  23
 8:  23
 12:  23
 27:  23
 27:  23
 23:  23
 27:  23
 38:  23
 1:  23
 1:  23
 23:  23
 23:  23
 31:  23
 28:  23
 12:  23
 27:  23
 5:  23
 12:  23
 6:  23
 23:  23
 7:  23
 23:  23
 23:  23
 23:  23
 23:  23
 26:  23
 28:  23
 12:  23
 7:  23
 23:  23
 23:  23
 27:  23
 23:  23
 27:  23
 27:  23
 28:  23
 23:  23
 12:  23
 31:  23
 28:  23
 27:  23
 33:  23
 12:  23
 23:  23
 1:  23
 16:  23
 23:  23
 28:  23
 12:  23
 31:  23
 23:  23
 16:  23
 1:  23
 27:  23
 34:  23
 1:  23
 1:  23
 5:  23
 1:  23
 23:  23
 23:  23
 23:  23
 23:  23
 28:  23
 15:  23
 28:  23
 38:  23
 38:  23
 28:  23
 23:  23
 2:  23
 28:  23
 6:  23
 6:  23
 27:  23
 23:  23
 23:  23
 28:  23
 27:  23
 31:  23
 23:  23
 23:  23
 28:  23
 23:  23
 38:  23
 7:  23
 31:  23
 20:  23
 27:  23
 23:  23
 26:  23
 28:  23
 7:  23
 23:  23
 23:  23
 28:  23
 9:  23
 9:  23
 12:  23
 23:  23
 23:  23
 23:  23
 28:  23
 27:  23
 9:  23
 8:  23
 23:  23
 28:  23
 8:  23
 23:  23
 1:  23
 15:  23
 7:  23
 7:  23
 26:  23
 23:  23
 2:  23
 33:  23
 23:  23
 7:  23
 27:  23
 1:  23
 7:  23
 7:  23
 1:  23
 28:  23
 26:  23
 22:  23
 28:  23
 1:  23
 1:  23
 28:  23
 23:  23
 7:  23
 7:  23
 27:  23
 23:  23
 36:  23
 6:  23
 27:  23
 23:  23
 23:  23
 28:  23
 23:  23
 23:  23
 1:  23
 27:  23
 33:  23
 1:  23
 26:  23
 12:  23
 28:  23
 1:  23
 6:  23
 28:  23
 31:  23
 27:  23
 12:  23
 23:  23
 38:  23
 27:  23
 23:  23
 20:  23
 23:  23
 1:  23
 26:  23
 23:  23
 6:  23
 26:  23
 27:  23
 28:  23
 15:  23
 8:  23
 27:  23
 23:  23
 26:  23
 26:  23
 20:  23
 26:  23
 23:  23
 8:  23
 28:  23
 28:  23
 27:  23
 23:  23
 1:  23
 5:  23
 27:  23
 27:  23
 7:  23
 27:  23
 28:  23
 28:  23
 23:  23
 26:  23
 26:  23
 23:  23
 23:  23
 23:  23
 7:  23
 31:  23
 31:  23
 7:  23
 7:  23
 15:  23
 27:  23
 0:  23
 23:  23
 28:  23
 7:  23
 6:  23
 6:  23
 12:  23
 23:  23
 15:  23
 28:  23
 5:  23
 7:  23
 12:  23
 28:  23
 23:  23
 23:  23
 28:  23
 9:  23
 1:  23
 28:  23
 23:  23
 6:  23
 6:  23
 23:  23
 26:  23
